parameters,anewarraycount,dyn_bb_count,dyn_method_count,i,lastRequestForParams,metric_value,micro_seconds_used,multianewarraycount,n1,n2,s,storecount,un
"s=DLX un=256 n1=16 n2=16 i=SUDOKU_PUZZLE_16x16_03 ","3","743248321","12911","SUDOKU_PUZZLE_16x16_03","Thu May 14 18:21:52 WEST 2020","995134063","77634.797695","2","16","16","DLX","251872826","256"
"s=DLX un=256 n1=16 n2=16 i=SUDOKU_PUZZLE_16x16_04 ","3","743248030","12895","SUDOKU_PUZZLE_16x16_04","Thu May 14 18:23:26 WEST 2020","995133618","78365.184439","2","16","16","DLX","251872688","256"
"s=DLX un=625 n1=25 n2=25 i=SUDOKU_PUZZLE_16x16_05 ","3","267142566","28630","SUDOKU_PUZZLE_16x16_05","Thu May 14 18:25:08 WEST 2020","395816667","33511.667464","2","25","25","DLX","128645466","625"
"s=DLX un=625 n1=25 n2=25 i=SUDOKU_PUZZLE_16x16_06 ","3","1922791258","36765","SUDOKU_PUZZLE_16x16_06","Thu May 14 18:26:19 WEST 2020","2603591721","202716.71061","2","25","25","DLX","680763693","625"
"s=DLX un=625 n1=25 n2=25 i=SUDOKU_PUZZLE_25x25_01 ","5","1922791306","36783","SUDOKU_PUZZLE_25x25_01","Thu May 14 18:10:45 WEST 2020","2603591802","115357.54595","2","25","25","DLX","680763706","625"
"s=DLX un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_101 ","5","234811021","3579","SUDOKU_PUZZLE_9x9_101","Thu May 14 18:14:56 WEST 2020","313297613","34992.051121","2","9","9","DLX","78483006","81"
"s=DLX un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_102 ","3","234811130","3569","SUDOKU_PUZZLE_9x9_102","Thu May 14 18:15:43 WEST 2020","313297776","26071.191388","2","9","9","DLX","78483072","81"
"s=DLX un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_103 ","3","234811430","3585","SUDOKU_PUZZLE_9x9_103","Thu May 14 18:16:19 WEST 2020","313298243","25911.348973","2","9","9","DLX","78483223","81"
"s=DLX un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_104 ","3","234810747","3549","SUDOKU_PUZZLE_9x9_104","Thu May 14 18:16:56 WEST 2020","313297180","26461.644115","2","9","9","DLX","78482879","81"
"s=DLX un=81 n1=9 n2=9 i=SUDOKU_PUZZLE_9x9_105 ","3","234811284","3577","SUDOKU_PUZZLE_9x9_105","Thu May 14 18:17:31 WEST 2020","313298016","26766.94272","2","9","9","DLX","78483150","81"
